"FK_Name","Parent_Table","Parent_Column","Referenced_Table","Referenced_Column"
"AssetAttribute_fk_1","AssetAttribute","RelayGUID","Relay","RelayGUID"
"DeltaComment_fk_1","DeltaComment","ResultsGUID","Results_Header","ResultsGUID"
"DeltaCorrAct_fk_1","DeltaCorrAct","ResultsGUID","Results_Header","ResultsGUID"
"DeltaDeficiency_fk_1","DeltaDeficiency","ResultsGUID","Results_Header","ResultsGUID"
"DeltaRecommend_fk_1","DeltaRecommend","ResultsGUID","Results_Header","ResultsGUID"
"Device_Type_Print_Order_fk_1","Device_Type_Print_Order","DeviceGUID","Device_Type","DeviceGUID"
"Device_Type_Settings_fk_1","Device_Type_Settings","DeviceGUID","Device_Type","DeviceGUID"
"FormDataTypeTags_fk_1","FormDataTypeTags","DeviceGUID","Device_Type","DeviceGUID"
"FormDataTypeTags_fk_2","FormDataTypeTags","FormDataTypeGUID","FormDataType","FormDataTypeGUID"
"FormFamily_fk_1","FormFamily","IconGUID","IconInfo","IconGUID"
"JobAttribute_fk_1","JobAttribute","JobGUID","PdbJob","JobGUID"
"JobUserAccount_fk_1","JobUserAccount","JobGUID","PdbJob","JobGUID"
"JobUserAccount_fk_2","JobUserAccount","UserGUID","PdbUserAccount","UserGUID"
"PdbAddrInfo_fk_1","PdbAddrInfo","CompanyGUID","PdbAddrHeader","CompanyGUID"
"PdbAddrInfoArchive_fk_1","PdbAddrInfoArchive","CompanyGUID","PdbAddrHeader","CompanyGUID"
"PdbCompliance_fk_1","PdbCompliance","RelayGUID","Relay","RelayGUID"
"PdbJob_Print_Order_fk_1","PdbJob_Print_Order","JobGUID","PdbJob","JobGUID"
"PdbJobEquipment_fk_1","PdbJobEquipment","JobGUID","PdbJob","JobGUID"
"PdbJobEquipment_fk_2","PdbJobEquipment","RelayGUID","Relay","RelayGUID"
"PdbJobInfo_fk_1","PdbJobInfo","JobGUID","PdbJob","JobGUID"
"PdbSmartFieldDep_fk_1","PdbSmartFieldDep","SfTag","PdbSmartField","SfTag"
"PdbSmartValuesDbl_fk_1","PdbSmartValuesDbl","DepId","PdbSmartFieldDep","DepId"
"PdbSmartValuesStr_fk_1","PdbSmartValuesStr","DepId","PdbSmartFieldDep","DepId"
"PdbSynchTrack_fk_1","PdbSynchTrack","UserGUID","PdbUserAccount","UserGUID"
"Relay_Settings_fk_1","Relay_Settings","RelayGUID","Relay","RelayGUID"
"RelayManufModel_fk_1","RelayManufModel","RelayGUID","Relay","RelayGUID"
"ResultAttribute_fk_1","ResultAttribute","ResultsGUID","Results_Header","ResultsGUID"
"Results_Digital_fk_1","Results_Digital","TestId","Results_Sequence","TestId"
"Results_FP_fk_1","Results_FP","ColumnId","Results_Info","ColumnId"
"Results_Graph_fk_1","Results_Graph","TestId","Results_Sequence","TestId"
"Results_Header_fk_1","Results_Header","RelayGUID","Relay","RelayGUID"
"Results_Info_fk_1","Results_Info","TestId","Results_Sequence","TestId"
"Results_Labels_fk_1","Results_Labels","TestId","Results_Sequence","TestId"
"Results_Print_Order_fk_1","Results_Print_Order","ResultsGUID","Results_Header","ResultsGUID"
"Results_Sequence_fk_1","Results_Sequence","ResultsGUID","Results_Header","ResultsGUID"
"Results_Settings_fk_1","Results_Settings","ResultsGUID","Results_Header","ResultsGUID"
"Results_String_fk_1","Results_String","ColumnId","Results_Info","ColumnId"
"Results_Values_fk_1","Results_Values","TestId","Results_Sequence","TestId"
"ResultsDelta_fk_1","ResultsDelta","ResultsGUID","Results_Header","ResultsGUID"
"ResultsDeltaCompressed_fk_1","ResultsDeltaCompressed","DeltaGUID","ResultsDelta","DeltaGUID"
"ResultsHdrBinary_HIST_fk_1","ResultsHdrBinary_HIST","ResultsGUID","Results_Header","ResultsGUID"
"Test_Report_fk_1","Test_Report","DeviceGUID","Device_Type","DeviceGUID"
"Test_Report_Attrib_fk_1","Test_Report_Attrib","ControlId","Test_Report_Control","ControlId"
"Test_Report_Control_fk_1","Test_Report_Control","TestProcId","Test_Report","TestProcId"
"Test_Report_Link_fk_1","Test_Report_Link","ControlId","Test_Report_Control","ControlId"
