"P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20"
"Apparatus","ATS_Hours","MTS_Hours",,"Apparatus_Type","Category","ATS_Hours",,,,,,,,,,,,,
"Conductors LV - 3 Phase Feeder","1","0.5",,"Conductors LV - 3 Phase Feeder","Conductors",,,,,,,,,,,,,,"AUTO"
"Current Transformer MV - Set of 3","2","2.5",,"Current Transformer MV - Set of 3","Instrument Transformers",,,,,,,,,,,,,,
"Arrestor - Medium Voltage (Set)","2","1.5",,"Arrestor - Medium Voltage (Set)","Arresters",,,,,,,,,,,,,,
"Conductors MV - Set of 3 (VLF Hipotential)","4","5",,"Conductors MV - Set of 3 (VLF Hipotential)","Conductors",,,,,,,,,,,,,,
"Circuit Breaker MV - Vacuum Bkr","4","6",,"Circuit Breaker MV - Vacuum Bkr","Circuit Breaker",,,,,,,,,,,,,,
"Current Transformer - MV","0.75","`.75",,"Current Transformer - MV","Instrument Transformers",,,,,,,,,,,,,,
"Protective Relay (Feeder Protection)","5","5",,"Protective Relay (Feeder Protection)","Protective Relay",,,,,,,,,,,,,,
"Motor Starter (Contactor) MV","4","6",,"Motor Starter (Contactor) MV","Motor Control",,,,,,,,,,,,,,
"Potential Transformer - MV SWGR","2.5","3",,"Potential Transformer - MV SWGR","Instrument Transformers",,,,,,,,,,,,,,
"Arrestor (SPD) - Low Voltage","0.5","1",,"Arrestor (SPD) - Low Voltage","Arresters",,,,,,,,,,,,,,
"Current Transformer LV - Set of 3 ","2","2.5",,"Current Transformer LV - Set of 3 ","Instrument Transformers",,,,,,,,,,,,,,
"Control Power Transformer - MV Swgr","2.5","2.5",,"Control Power Transformer - MV Swgr","Instrument Transformers",,,,,,,,,,,,,,
"Ground Resistance Test - FOP or Clamp Method","2.5","6",,"Ground Resistance Test - FOP or Clamp Method","Grounding",,,,,,,,,,,,,,
"Protective Relay (Motor Control)","8","8",,"Protective Relay (Motor Control)","Protective Relay",,,,,,,,,,,,,,
"Switch MV - Fused Disconnect","2.5","3",,"Switch MV - Fused Disconnect","Switch",,,,,,,,,,,,,,
"Switchgear - Medium Voltage","2.5","10",,"Switchgear - Medium Voltage","Distribution",,,,,,,,,,,,,,
"Transformer - Dry Type (TTR/WR/IR)","3","4",,"Transformer - Dry Type (TTR/WR/IR)","Transformer",,,,,,,,,,,,,,
"Reactors - (Shunt and Current-Limiting) Dry-Type  ","2","2.5",,"Reactors - (Shunt and Current-Limiting) Dry-Type","Reactor",,,,,,,,,,,,,,
"Potential Transformer - MV Set","2.5","3",,"Potential Transformer - MV Set","Instrument Transformers",,,,,,,,,,,,,,
"Circuit Breaker LV - Panelboard MCB","2.5","3",,"Circuit Breaker LV - Panelboard MCB","Circuit Breaker",,,,,,,,,,,,,,
"Meter - PQM/Microprocessor Based","2.5","3",,"Meter - PQM/Microprocessor Based","PQM",,,,,,,,,,,,,,
"Motor - Low Voltage","2","3",,"Motor - Low Voltage","Motor",,,,,,,,,,,,,,
"Motor Control Center LV","8","6",,"Motor Control Center LV","Motor Control",,,,,,,,,,,,,,
"Panelboard - Low Voltage","0.5","1",,"Panelboard - Low Voltage","Distribution",,,,,,,,,,,,,,
"Switch LV - Fused Disconnect","1","1.5",,"Switch LV - Fused Disconnect","Switch",,,,,,,,,,,,,,
"Transformer - Dry Type (TTR/IR)","1.5","2",,"Transformer - Dry Type (TTR/IR)","Transformer",,,,,,,,,,,,,,
"Circuit Breaker LV - Draw-Out (LSIG)","4","4.5",,"Circuit Breaker LV - Draw-Out (LSIG)","Circuit Breaker",,,,,,,,,,,,,,
"Circuit Breaker LV - Molded Case Thermal/Mag","4","2",,"Circuit Breaker LV - Molded Case Thermal/Mag","Circuit Breaker",,,,,,"",,,,,,,,
"Control Power Transformer - LV Swbd","1.5","2",,"Control Power Transformer - LV Swbd","Instrument Transformers",,,,,,"",,,,,,,,
"Ground Resistance Test -  Two-Point (Half Day)","5","8",,"Ground Resistance Test -  Two-Point (Half Day)","Grounding",,,,,,,,,,,,,,
"Protective Relay - (Bus Differential)","5","8",,"Protective Relay - (Bus Differential)","Protective Relay",,,,,,,,,,,,,,
"Switchboard - Service Entrance","1.5","1.5",,"Switchboard - Service Entrance","Distribution",,,,,,,,,,,,,,
"Transformer - Oil Sample Draw","1","2",,"Transformer - Oil Sample Draw","Transformer",,,,,,,,,,,,,,
"Transformer - Pad Mount Oil (TTR/IR/WR/PF/Oil)","12","14",,"Transformer - Pad Mount Oil (TTR/IR/WR/PF/Oil)","Transformer",,,,,,,,,,,,,,
"Uninterruptible Power Supply - UPS","3","3",,"Uninterruptible Power Supply - UPS","UPS",,,,,,,,,,,,,,
"Circuit Breaker LV - Insulated Case (LSIG)","3.5","4",,"Circuit Breaker LV - Insulated Case (LSIG)","Circuit Breaker",,,,,,,,,,,,,,
"Potential Transformer - LV Set","1.5","3",,"Potential Transformer - LV Set","Instrument Transformers",,,,,,,,,,,,,,
,,,,"Current Transformer LV - Set of 3","Instrument Transformers",,,,,,,,,,,,,,
