"ID","Mfr_Name"
62,"(Generic)"
174,"(Plugin)"
26,"A.B. Chance"
247,"aaa"
56,"A-B"
1,"ABB"
396,"ABB-Wylex"
429,"acemsa"
451,"Adria"
203,"AEG"
308,"AEI"
119,"Aeroflex"
422,"Alder"
132,"Allen Bradley"
187,"Allen -Bradley"
101,"Allen-Bradley"
2,"Allis Chalmer"
85,"Allis-Chalmers"
58,"Alstom"
189,"Altech Corp"
97,"American"
168,"American Switch"
179,"Ampcontrol"
242,"AMR"
432,"Anord Mardix"
243,"Appleton"
435,"Arcteq"
89,"Areva"
266,"Argus"
293,"Arteche"
92,"Asco"
3,"Asea"
365,"ASI"
433,"Atom Power"
138,"Automation Drct"
54,"Basler"
125,"BBC"
57,"Beckwith"
351,"Bender"
129,"Benshaw"
315,"Bill"
80,"Boltswitch"
260,"Bridgestone"
4,"Brown Boveri"
273,"Broyce"
200,"Brundy"
142,"Brush"
164,"Bryant"
283,"bticini"
238,"bticino"
201,"Burndy"
27,"BUSS"
90,"Bussmann"
285,"c3controls"
64,"Calvert"
146,"Canada Power"
231,"Carling Tech"
438,"Carlo Gavazzi"
51,"Carriere"
248,"CAT"
162,"Caterpillar"
100,"CBI"
70,"CEE"
37,"Cefco"
401,"CET"
424,"CG Power & Ind."
63,"CH"
73,"C-H"
121,"Challenger"
336,"Changshu"
264,"Chint"
452,"CHNBEL"
328,"CHNT"
152,"Circuit Savers"
294,"Circutor"
369,"CleavelandPrice"
186,"Cleveland Price"
333,"Coelme"
177,"ComAp"
378,"Commander"
5,"Condit Elect"
69,"Conductor Curve"
155,"ControlledPower"
6,"Cooper"
359,"CR324C"
364,"Crabtree"
389,"Crady"
423,"Crompton"
421,"CromptonGreaves"
391,"Crouse-Hinds"
321,"Crown Electric"
158,"Cummins"
41,"Cutler Hammer"
28,"Cutler-Hammer"
414,"DC Relay"
268,"DCA"
412,"Deesys"
205,"DEIF"
258,"Dekfuse"
381,"Delixi"
250,"Delle"
167,"Delle-Alsthom"
439,"DF Electric"
326,"Doepke"
117,"Dominion"
107,"Dorman Smith"
156,"Dossert"
176,"Driescher"
71,"DRIWISA"
408,"DSE"
226,"Duct-o-wire"
449,"EAE Electrik"
188,"EasternElectric"
425,"Easun Reyrolle"
131,"Eaton"
171,"Eaton/Holec"
120,"Edison"
385,"EDP"
198,"EEC"
265,"EFEN"
409,"EI Engineering"
282,"EIB"
194,"Elastimold"
7,"Electric Mach"
332,"Electromagnetic"
180,"ElectroMecanica"
91,"Electroputere"
270,"Elimsan"
443,"Ellison"
228,"EMA"
278,"Emerson"
400,"EMICC"
234,"Emspec"
105,"English Elec"
29,"English Elect"
106,"English Electri"
206,"EnglishElectric"
437,"Entec"
241,"Entrelec"
384,"EPD"
288,"EPEL"
141,"EPRI Synthetic"
298,"ERL"
399,"ERMCC"
166,"ERMCO"
441,"ESL PoweSystem"
316,"ETA"
227,"E-T-A"
397,"ETC"
163,"ETI"
390,"Fanox"
329,"FDC"
8,"Fed Pacific"
77,"Fed Pioneer"
118,"Federal Pacific"
114,"Federal Pcific"
45,"Federal Pioneer"
379,"FerderalPioneer"
30,"Ferraz Shawmut"
406,"FMX"
353,"Franklin CS"
46,"Fuji"
102,"Fuji America"
366,"Furino"
367,"Furuno"
95,"Fusetek"
392,"G&C"
19,"G&W"
386,"GB"
9,"GE"
60,"GEC"
59,"GEC Alsthom"
445,"GEIS"
159,"Generac"
20,"Generic"
302,"Gewiss"
387,"GL"
134,"Goldstar"
173,"Gould"
31,"Gould Shawmut"
47,"GTE"
395,"GTE/Sylvania"
292,"Hager"
252,"Havells"
42,"Heinemann"
251,"Heinmann"
375,"HelioProtection"
145,"Hikari"
300,"Hinode"
144,"Hitachi"
72,"Hi-Tech"
230,"Hi-Z"
307,"HJ Intl."
444,"Hollyland"
370,"Howard Ind."
172,"Howe-Yin"
233,"Hubbell"
99,"HUNDT & WEBER"
305,"Huyu"
10,"HVB"
246,"Hyosung"
96,"Hyundai"
76,"IEC MFR"
245,"i-Gard"
368,"Inael"
286,"Indel Bauru"
108,"Indust Power"
109,"Industrial Pwr"
110,"IndustrialPower"
380,"Inebrasa"
269,"Inepar"
325,"Inertia Eng."
301,"Ingeteam"
339,"Innovative Swch"
338,"Innovative Swit"
341,"InnovativeSwitc"
340,"InnovativeSwtch"
276,"Inter-Teknik"
402,"IPT"
306,"Iskra"
344,"ITALWEBER"
11,"ITE"
53,"I-T-E"
81,"ITI"
355,"Jean Mueller"
281,"Jean Muller"
363,"Jiangshu"
153,"Joclyn"
21,"Joslyn"
417,"Joslyn Clark"
254,"JVS"
212,"Kasuga"
416,"Katko"
12,"Kearney"
221,"Klixon"
193,"Kohler"
314,"Koncar"
202,"Kraus & Naimer"
398,"Kries-Energie"
371,"KTE"
127,"Kyongbo"
358,"L&T"
253,"Larsen & Toubro"
313,"Lawson"
346,"LDA (IP54) V"
216,"Legrand"
312,"Leviton"
304,"LG Industrial"
88,"Line Power"
38,"Littelfuse"
413,"Lovato"
192,"LS Industrial"
303,"LSIS"
217,"Lucy"
453,"Lucy Electric"
237,"MacLean Power"
280,"Magrini Galileo"
139,"Manufacturer-1"
261,"Maysteel"
383,"Mayvasa"
327,"MCG"
13,"McGraw Edison"
181,"Meidensha"
317,"MEM"
40,"Merlin Gerin"
219,"Mersen"
310,"Mesa"
229,"Microelettrica"
447,"Microener"
311,"MiDOS"
240,"Milbank"
360,"Mindcore Tech"
122,"Mitsubishi"
79,"Moeller"
259,"Moran"
393,"Morpac"
204,"Motortronics"
49,"Multilin"
123,"Murray"
426,"Nader"
275,"NBS"
22,"Nelson"
83,"New Item"
394,"NHP"
377,"Nilsen"
182,"NISSIN"
382,"Noarc"
403,"Noark"
178,"Noja Power"
331,"Nonarc"
309,"Non-Seg 15kV"
287,"NR Electric"
147,"Nu-Lec"
222,"OEZ"
154,"Omron"
137,"Onan"
434,"Orion Italia"
115,"Ormazabal"
345,"Ottermill"
407,"Overload Relay"
442,"P&A Power Sys"
354,"P&B"
111,"P&B Golds"
284,"PascorAtlantic"
277,"PDP"
274,"PDS"
232,"Pennsylvania PB"
335,"People Electric"
257,"Pextron"
352,"Post Glover"
14,"Powell"
272,"Powell-Esco"
148,"Power Delivery "
116,"Powercon"
112,"Pringle"
296,"Proteus"
446,"PS Electrical"
410,"R Isodel"
39,"Reliance"
430,"Renmin"
330,"Resina"
211,"Reyrolle"
157,"Richards"
347,"Rittal"
140,"Rockwell"
48,"Roller Smith"
418,"Royal Switchgea"
349,"RP Switchgear"
350,"RPS Switchgear"
32,"RTE"
136,"Russelectric"
23,"S&C"
356,"SAC"
43,"SACE"
267,"Sace Bergamo"
244,"Sace-Sud"
318,"Saelzer"
324,"Salzer"
209,"Samwha"
295,"Sarel"
52,"Satin American"
372,"Sceaw"
299,"Schaltbau"
84,"Schneider"
361,"Schrack"
55,"Schweitzer"
161,"Seeco"
98,"SEG"
196,"Sensata"
348,"Sensitr"
223,"SEZ"
374,"Shanghai Elect."
440,"Shanghai Electr"
448,"Shihlin"
362,"Shrack"
86,"Siba"
15,"Siemens"
16,"Siemens Allis"
33,"Siemens-Allis"
165,"Siemens-Furnas"
404,"Sifang"
419,"Sino Fuse"
420,"Sinofuse"
376,"Sirco"
128,"Skymatic"
220,"SMC"
190,"SNEMO"
170,"Socomec"
428,"Solcon"
271,"Soprano"
183,"South Wales"
34,"Southern States"
431,"SPD Electrical"
322,"Sprecher Auto."
169,"Sprecher+Schuh"
17,"SQD"
35,"Square D"
235,"SquareD"
337,"SREAW"
65,"SST"
323,"Stahl"
279,"Starline"
103,"Startco"
343,"Stator"
342,"Stator TOC"
236,"Std"
436,"Steck"
320,"Stucke"
319,"Stucke Electron"
104,"Sure-Trip"
149,"Sylvania"
82,"Sytek"
373,"T&B"
214,"T-1"
411,"Taesung"
291,"Taian"
184,"Takaoka"
218,"Tamco"
197,"Tavrida"
256,"TE Energy"
113,"Team Arteche"
405,"Techna"
224,"Technibus"
215,"TEE"
124,"Telemecanique"
388,"Temper"
151,"Terasaki"
75,"Test"
66,"Thomas & Betts"
67,"Thomas&Betts"
415,"Thomson"
160,"Thytronic"
450,"Tianjin Benefo"
255,"T-Line Damage"
61,"Toshiba"
334,"Tozzi"
175,"Trayer"
74,"Trench"
24,"Trinetics"
207,"Tron"
44,"Trumbel"
225,"Trumbull"
249,"Tyco"
143,"Typical"
135,"Unelec"
50,"Utility Relay"
126,"VAMP"
185,"VITZRO Tech"
78,"W"
195,"Weber"
213,"WEG"
297,"Weidmuller"
18,"West"
130,"Westing House"
36,"Westinghouse"
68,"Westrip"
150,"Whipp & Bourne"
87,"Wickmann"
133,"Woodward"
454,"Xiamen Hongfa"
357,"XJ Group"
199,"Yaskawa"
208,"Yorksgire"
210,"Yorkshire"
25,"Zenith"
427,"Zhejiang BSB"
191,"ZIV"
93,"ZTG[CL Fuse]"
94,"ZTG[MCB]"
239,"ZZZ"
